0,1,15,0,0,0,0,0,25,0,2,0,24,0,0,16,19,4,0,0,11,12,0,0,0,
0,0,0,11,0,0,0,20,18,17,6,0,0,4,15,0,0,0,0,14,5,3,23,0,24,
4,0,20,10,0,8,0,13,19,0,12,0,16,0,0,0,0,0,23,7,25,6,0,0,0,
24,0,0,5,0,0,0,7,1,2,19,0,8,0,3,17,6,12,25,0,20,9,0,0,18,
0,0,25,17,0,9,11,6,24,0,0,0,0,14,5,0,1,20,18,2,8,22,4,10,0,
0,15,18,0,8,12,25,0,22,6,17,0,0,24,0,0,0,16,0,0,7,10,9,20,13,
16,7,6,0,0,0,14,0,0,0,5,25,0,8,23,22,0,0,3,13,18,24,0,4,0,
25,9,11,0,0,18,13,0,0,0,22,0,7,6,0,2,14,0,24,0,0,5,17,19,16,
0,20,0,0,0,0,16,4,21,5,13,0,0,19,1,0,0,0,0,10,0,23,3,0,0,
13,14,1,19,12,0,0,24,0,0,9,0,0,10,4,5,8,7,0,18,0,15,6,0,2,
0,0,8,0,0,13,4,23,6,0,18,9,1,3,0,15,0,0,17,0,12,20,2,11,7,
23,0,0,0,7,0,0,0,0,8,11,14,4,25,6,20,10,0,16,19,9,0,0,15,3,
11,2,0,18,0,21,15,25,0,0,0,0,0,0,8,1,0,0,9,0,0,0,0,6,0,
3,0,0,0,16,19,0,0,12,7,20,0,0,21,0,0,0,8,6,11,0,0,0,24,25,
17,0,0,14,1,0,0,9,10,0,0,0,15,0,13,12,4,2,22,25,0,18,0,8,0,
0,0,16,0,19,20,7,2,0,0,3,4,13,1,18,23,0,15,21,0,0,8,12,0,0,
1,11,12,7,21,0,19,5,9,3,16,23,20,0,0,0,18,24,0,0,0,17,0,0,4,
6,18,10,22,17,0,0,0,0,12,0,0,14,9,0,7,25,1,0,5,23,2,0,3,0,
0,0,0,0,0,0,17,0,0,0,10,0,5,0,0,9,0,14,19,20,24,0,25,16,0,
20,0,2,0,0,1,0,0,14,23,15,0,0,17,7,11,0,3,10,16,19,0,18,9,0,
21,3,24,16,18,0,9,0,7,10,0,0,2,0,0,0,13,22,0,17,0,0,20,0,12,
9,10,14,0,0,0,8,1,0,0,0,13,18,0,17,4,16,0,0,23,3,0,24,22,0,
0,0,0,0,25,14,21,22,2,0,0,3,0,16,12,18,5,19,0,24,4,0,15,7,9,
7,22,0,0,0,24,0,3,23,4,0,8,9,20,19,10,0,21,0,6,2,16,13,0,14,
2,4,0,20,13,0,6,12,0,16,0,21,22,23,24,0,15,0,7,1,10,25,0,0,5,
