0,11,9,0,0,16,13,4,0,0,14,0,10,6,15,0,
4,12,15,0,3,6,0,11,0,5,0,1,16,7,14,2,
1,0,6,0,15,2,0,0,11,9,10,0,0,0,8,0,
0,13,0,0,0,1,0,0,4,6,0,15,0,0,0,0,
0,0,0,0,0,0,15,0,8,1,5,3,0,4,11,7,
6,0,1,0,0,12,8,0,9,0,0,2,0,0,3,0,
14,0,4,13,6,0,0,3,0,12,7,10,8,0,2,0,
3,8,0,0,4,7,2,0,6,0,0,0,0,12,16,5,
13,0,0,16,0,8,14,10,3,4,15,0,12,5,1,11,
0,0,0,6,2,0,0,1,10,0,11,0,15,3,0,9,
7,0,0,12,0,4,0,15,5,0,9,14,0,0,0,0,
10,0,0,8,0,0,11,0,0,0,1,12,4,0,13,16,
0,0,0,0,0,0,7,0,15,2,0,0,0,0,12,3,
0,0,7,0,0,10,6,0,1,8,0,13,11,0,9,14,
8,6,5,0,0,3,0,0,14,0,0,9,0,0,0,0,
0,16,0,2,0,0,0,14,0,10,0,0,0,0,0,0,
